annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	59	0.00824252584520816	0.884154227395388	0.388630827385297
UTR5	71546	0.00285251910856087	36	0.00502933780385583	1.76312151205647	0.00169697998922947
downstream	284177	0.0113300579027968	79	0.0110366024029058	0.97409938215598	0.866937551768819
exonic	254736	0.0101562534263042	62	0.00866163732886281	0.852837849283043	0.237763437478582
intergenic	11684523	0.465858680176655	1567	0.218915898295613	0.469919114124051	0
intronic	9137749	0.364319509570527	3377	0.471779826767253	1.2949617420253	5.10855872164401e-77
ncRNA_exonic	259951	0.0103641740249561	114	0.0159262363788768	1.53666238530226	1.44240297220553e-05
ncRNA_intronic	2884355	0.114998431126451	1785	0.249371332774518	2.16847595512248	3.11929856122267e-218
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	79	0.0110366024029058	1.03798714639291	0.729271080979681
