# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 13935
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13935   0.00032833    0.0095672   0.00038752      0.19843
9_pcw        COVAR   13935   0.00068076     0.016308   0.00047557     0.076163
12_pcw       COVAR   13935    0.0006221     0.017157    0.0004662     0.091048
13_pcw       COVAR   13935   0.00053954     0.015533   0.00044174      0.11098
16_pcw       COVAR   13935   0.00044159     0.011406   0.00054973      0.21091
17_pcw       COVAR   13935   0.00049104     0.012307   0.00060579      0.20881
19_pcw       COVAR   13935  -0.00016479   -0.0051769   0.00042732      0.65012
21_pcw       COVAR   13935   0.00074416     0.018703   0.00062858      0.11824
24_pcw       COVAR   13935   0.00027623     0.008026    0.0005493      0.30753
26_pcw       COVAR   13935  -0.00022441   -0.0046708   0.00094907      0.59346
37_pcw       COVAR   13935  -0.00088497    -0.026719   0.00056062      0.94277
4_mos        COVAR   13935   -0.0013286    -0.035143    0.0011434      0.87738
10_mos       COVAR   13935  -0.00064982    -0.019259   0.00073369       0.8121
1_yrs        COVAR   13935    0.0010214     0.023437   0.00084153      0.11243
2_yrs        COVAR   13935  -0.00054792    -0.011599   0.00056813      0.83258
3_yrs        COVAR   13935  -0.00061077    -0.015258   0.00066539      0.82066
4_yrs        COVAR   13935  -0.00044698    -0.015303   0.00048836      0.81996
8_yrs        COVAR   13935   -0.0011137    -0.032376   0.00079809      0.91855
11_yrs       COVAR   13935    8.103e-05     0.002104   0.00078164      0.45872
13_yrs       COVAR   13935   0.00039532    0.0089088   0.00091289       0.3325
15_yrs       COVAR   13935    0.0012327     0.028339   0.00083901     0.070898
18_yrs       COVAR   13935  -0.00015295   -0.0032571   0.00078852       0.5769
19_yrs       COVAR   13935    0.0006187      0.01568   0.00072143      0.19556
21_yrs       COVAR   13935   0.00096892     0.022451   0.00081135      0.11621
23_yrs       COVAR   13935   0.00053123     0.011604   0.00095028      0.28808
30_yrs       COVAR   13935   0.00024168    0.0069249   0.00059528      0.34238
36_yrs       COVAR   13935    0.0015738     0.033072   0.00092904     0.045148
37_yrs       COVAR   13935    0.0019302      0.04111   0.00089018     0.015076
40_yrs       COVAR   13935  -0.00017524   -0.0049729   0.00070053      0.59876
