annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	2	0.0037037037037037	0.389204750141527	0.259551300802808
UTR5	46406	0.00284084213467316	0	0	0	0.414762072862161
downstream	184076	0.0112686044214562	3	0.00555555555555556	0.493011853799517	0.302788557595472
exonic	157410	0.00963618843293758	2	0.0037037037037037	0.384353598881901	0.261859684015507
intergenic	7340829	0.449384483183869	169	0.312962962962963	0.696425832831686	1.17845021402232e-10
intronic	6228556	0.38129432234994	324	0.6	1.57358755384073	1.4336589572042e-24
ncRNA_exonic	164533	0.0100722380499112	2	0.0037037037037037	0.367714075595777	0.190567373362636
ncRNA_intronic	1884461	0.115361294012591	37	0.0685185185185185	0.593947208246816	0.000343089016976469
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	0	0	0	1
upstream	171164	0.0104781688389259	1	0.00185185185185185	0.176734301605478	0.0520716256976677
