# MEAN_SAMPLE_SIZE = 584
# TOTAL_GENES = 16594
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   16594    -0.015375    -0.030048      0.01455      0.85466
Adrenal_Gland       COVAR   16594    -0.020354    -0.039113     0.011356      0.96345
Bladder             COVAR   16594    -0.047655    -0.092374     0.017604       0.9966
Blood               COVAR   16594    0.0096049       0.0172    0.0068483     0.080392
Blood_Vessel        COVAR   16594    -0.036645     -0.07404     0.012872      0.99779
Brain               COVAR   16594   -0.0046096   -0.0079616    0.0075533      0.72916
Breast              COVAR   16594    0.0069575      0.01331     0.017323      0.34398
Cervix_Uteri        COVAR   16594    -0.021709    -0.042401     0.015607      0.91788
Colon               COVAR   16594   -0.0030372   -0.0056534     0.017176      0.57018
Esophagus           COVAR   16594    -0.054312     -0.10172     0.018625      0.99822
Fallopian_Tube      COVAR   16594    -0.040455    -0.078035     0.015155       0.9962
Heart               COVAR   16594    -0.015126    -0.025897     0.010549      0.92418
Kidney              COVAR   16594     0.014849     0.025981      0.01025     0.073712
Liver               COVAR   16594    0.0021905    0.0039313    0.0071165      0.37912
Lung                COVAR   16594    0.0088321     0.016978     0.011602      0.22326
Muscle              COVAR   16594   -0.0018278   -0.0034487    0.0076727      0.59414
Nerve               COVAR   16594   -0.0094332    -0.018891     0.011312      0.79783
Ovary               COVAR   16594    -0.034457    -0.069554     0.011227      0.99892
Pancreas            COVAR   16594     0.013148     0.021879    0.0096005     0.085425
Pituitary           COVAR   16594    0.0089989      0.01666    0.0091331      0.16224
Prostate            COVAR   16594     0.014649     0.027619     0.015208      0.16773
Salivary_Gland      COVAR   16594     0.021514     0.039798     0.011815     0.034323
Skin                COVAR   16594    0.0073967     0.014031     0.011082      0.25225
Small_Intestine     COVAR   16594     0.030877     0.056426       0.0118    0.0044448
Spleen              COVAR   16594    0.0089029     0.017566    0.0086801      0.15253
Stomach             COVAR   16594     0.052932     0.095609     0.015021   0.00021337
Testis              COVAR   16594     0.006639     0.011396    0.0061242      0.13918
Thyroid             COVAR   16594    0.0034849     0.006865       0.0119      0.38482
Uterus              COVAR   16594    -0.015346     -0.03112     0.013099      0.87931
Vagina              COVAR   16594    -0.011665     -0.02217     0.013838      0.80036
