GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	46	7	584	1.2628	0.10334	SAMD11
ENSG00000268179	1	861264	866445	16	3	584	1.3393	0.09024	AL645608.1
ENSG00000188976	1	879584	894689	14	3	584	1.284	0.099567	NOC2L
ENSG00000187961	1	895967	901095	8	3	584	1.9956	0.022989	KLHL17
ENSG00000187583	1	901877	911245	20	6	584	0.18519	0.42654	PLEKHN1
ENSG00000187642	1	910579	917497	14	2	584	0.86139	0.19451	C1orf170
ENSG00000188290	1	934342	935552	2	1	584	0.067251	0.47319	HES4
ENSG00000187608	1	948803	949920	3	1	584	0.21225	0.41596	ISG15
ENSG00000188157	1	955503	991496	59	6	584	0.51544	0.30312	AGRN
ENSG00000237330	1	1006346	1009687	3	1	584	-0.36187	0.64128	RNF223
ENSG00000131591	1	1017198	1051741	88	5	584	0.79264	0.21399	C1orf159
ENSG00000162571	1	1109264	1133315	62	8	584	-2.064	0.98049	TTLL10
ENSG00000186891	1	1138888	1142071	6	1	584	-1.4855	0.93129	TNFRSF18
ENSG00000186827	1	1146706	1149518	6	2	584	-1.2387	0.89227	TNFRSF4
ENSG00000078808	1	1152288	1167411	87	3	584	-1.3357	0.90917	SDF4
ENSG00000176022	1	1167629	1170421	2	1	584	-1.005	0.84255	B3GALT6
ENSG00000184163	1	1177826	1182102	9	2	584	-1.5737	0.94222	FAM132A
ENSG00000160087	1	1189289	1209265	16	5	584	-0.27448	0.60814	UBE2J2
ENSG00000162572	1	1215816	1227409	30	7	584	-1.0482	0.85272	SCNN1D
ENSG00000131584	1	1227756	1244989	48	7	584	-0.92387	0.82222	ACAP3
ENSG00000169972	1	1243947	1247057	2	1	584	-0.15521	0.56167	PUSL1
ENSG00000127054	1	1246965	1260071	9	2	584	-1.0016	0.84173	CPSF3L
ENSG00000224051	1	1260136	1264277	10	2	584	-1.264	0.89689	GLTPD1
ENSG00000169962	1	1266694	1270686	11	4	584	0.15725	0.43752	TAS1R3
ENSG00000107404	1	1270656	1284730	28	4	584	-0.29117	0.61454	DVL1
ENSG00000162576	1	1288069	1297157	24	3	584	-0.90107	0.81622	MXRA8
ENSG00000175756	1	1309110	1310875	5	2	584	-0.56911	0.71536	AURKAIP1
ENSG00000221978	1	1321091	1334708	15	4	584	-0.28161	0.61088	CCNL2
ENSG00000224870	1	1334902	1337426	9	3	584	0.017573	0.49299	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	13	4	584	0.12052	0.45203	MRPL20
ENSG00000235098	1	1353800	1357149	6	1	584	0.82168	0.20563	ANKRD65
ENSG00000205116	1	1361508	1363167	3	1	584	1.3525	0.088115	TMEM88B
ENSG00000179403	1	1370241	1378262	3	1	584	-2.7441	0.99697	VWA1
ENSG00000215915	1	1385069	1405538	3	1	584	0.28851	0.38648	ATAD3C
ENSG00000160072	1	1407143	1433228	16	3	584	-0.68953	0.75475	ATAD3B
ENSG00000197785	1	1447531	1470067	51	5	584	0.0013183	0.49947	ATAD3A
ENSG00000205090	1	1470554	1475833	6	2	584	-0.34666	0.63558	TMEM240
ENSG00000160075	1	1477053	1510249	63	7	584	-0.03223	0.51286	SSU72
ENSG00000215014	1	1510355	1511373	1	1	584	0.7714	0.22023	AL645728.1
ENSG00000228594	1	1533392	1535476	1	1	584	-0.95167	0.82937	C1orf233
ENSG00000197530	1	1550795	1565990	6	1	584	-1.1974	0.88442	MIB2
ENSG00000189339	1	1592939	1624167	3	1	584	0.39934	0.34482	SLC35E2B
ENSG00000215790	1	1656277	1677431	2	1	584	-0.16014	0.56361	SLC35E2
ENSG00000008130	1	1682671	1711896	55	5	584	0.086062	0.46571	NADK
ENSG00000078369	1	1716729	1822495	87	5	584	-0.65903	0.74506	GNB1
