GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
31	6:29575815-29576415	6:29589000-29591000	0	EP	PsychENCODE	EP_links_oneway	intra	rs29229;rs881284;rs29261;rs29230	NA	0
31	6:29579044-29579726	6:29589000-29591000	0	EP	PsychENCODE	EP_links_oneway	intra	chr6:29579626	NA	0
31	6:29590060-29590786	6:29569000-29571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs29245	NA	0
31	6:29591703-29591878	6:29569000-29571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs3025626	NA	0
40	8:10822335-10822631	8:11139000-11141000	0	EP	PsychENCODE	EP_links_oneway	intra	rs35792458	NA	0
40	8:10822335-10822631	8:11139000-11141000	0	EP	PsychENCODE	EP_links_oneway	intra	rs35792458	NA	0
40	8:11309071-11309374	8:12259000-12261000	0	EP	PsychENCODE	EP_links_oneway	intra	rs13255193	NA	0
50	10:65403926-65404932	10:64949000-64951000	0	EP	PsychENCODE	EP_links_oneway	intra	rs80158649	NA	0
59	12:113567976-113568878	12:112839000-112841000	0	EP	PsychENCODE	EP_links_oneway	intra	rs113003385	NA	0
59	12:113567976-113568878	12:113519000-113521000	0	EP	PsychENCODE	EP_links_oneway	intra	rs113003385	NA	0
59	12:113567976-113568878	12:113529000-113531000	0	EP	PsychENCODE	EP_links_oneway	intra	rs113003385	NA	0
66	17:43302089-43302324	17:43469000-43471000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12449792	NA	0
66	17:43302089-43302324	17:43469000-43471000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12449792	NA	0
66	17:43302089-43302324	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12449792	NA	0
66	17:43302089-43302324	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12449792	NA	0
66	17:43487727-43488536	17:43499000-43501000	0	EP	PsychENCODE	EP_links_oneway	intra	rs8071011	NA	0
66	17:43487727-43488536	17:43509000-43511000	0	EP	PsychENCODE	EP_links_oneway	intra	rs8071011	NA	0
66	17:43487727-43488536	17:43509000-43511000	0	EP	PsychENCODE	EP_links_oneway	intra	rs8071011	NA	0
66	17:43660985-43662291	17:42989000-42991000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:43661378;rs2693359;chr17:43661801;chr17:43661959;chr17:43662020	NA	0
66	17:43660985-43662291	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:43661378;rs2693359;chr17:43661801;chr17:43661959;chr17:43662020	NA	0
66	17:43660985-43662291	17:44319000-44321000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:43661378;rs2693359;chr17:43661801;chr17:43661959;chr17:43662020	NA	0
66	17:43797042-43797515	17:43559000-43561000	0	EP	PsychENCODE	EP_links_oneway	intra	rs56167344;chr17:43797157;rs56046792	NA	0
66	17:43817839-43818330	17:43529000-43531000	0	EP	PsychENCODE	EP_links_oneway	intra	rs80157557;rs76728632;rs17563827	NA	0
66	17:43817839-43818330	17:43529000-43531000	0	EP	PsychENCODE	EP_links_oneway	intra	rs80157557;rs76728632;rs17563827	NA	0
66	17:43818387-43818660	17:43529000-43531000	0	EP	PsychENCODE	EP_links_oneway	intra	rs80072429;rs77114624	NA	0
66	17:43818387-43818660	17:43529000-43531000	0	EP	PsychENCODE	EP_links_oneway	intra	rs80072429;rs77114624	NA	0
66	17:43818755-43819381	17:43529000-43531000	0	EP	PsychENCODE	EP_links_oneway	intra	rs17563861;rs17563889	NA	0
66	17:43818755-43819381	17:43529000-43531000	0	EP	PsychENCODE	EP_links_oneway	intra	rs17563861;rs17563889	NA	0
66	17:43902249-43902698	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs4341787;rs4523962;rs4327090	NA	0
66	17:43902249-43902698	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs4341787;rs4523962;rs4327090	NA	0
66	17:43902863-43903953	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1912151;rs1396862;rs41280118;rs62057146;rs62057147;rs17763050;rs62057148;rs62057149;rs62057150;rs62057151	NA	0
66	17:43902863-43903953	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1912151;rs1396862;rs41280118;rs62057146;rs62057147;rs17763050;rs62057148;rs62057149;rs62057150;rs62057151	NA	0
66	17:43904654-43905066	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62057155;rs62057156	NA	0
66	17:43904654-43905066	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62057155;rs62057156	NA	0
66	17:43908821-43909101	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55865707;rs62054760;rs62054761;rs62054762	NA	0
66	17:43908821-43909101	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55865707;rs62054760;rs62054761;rs62054762	NA	0
66	17:43925815-43926039	17:43549000-43551000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62054817	NA	0
66	17:43925815-43926039	17:43549000-43551000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62054817	NA	0
66	17:43926185-43926813	17:43549000-43551000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62054820	NA	0
66	17:43926185-43926813	17:43549000-43551000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62054820	NA	0
66	17:43928953-43929395	17:43549000-43551000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62054823	NA	0
66	17:43928953-43929395	17:43549000-43551000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62054823	NA	0
66	17:43944317-43945382	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150516;rs62055475	NA	0
66	17:43944317-43945382	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150516;rs62055475	NA	0
66	17:43945646-43945700	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62055477	NA	0
66	17:43945646-43945700	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62055477	NA	0
66	17:43945701-43946133	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs78637438;rs2316771;rs62055478;rs1078830	NA	0
66	17:43945701-43946133	17:43569000-43571000	0	EP	PsychENCODE	EP_links_oneway	intra	rs78637438;rs2316771;rs62055478;rs1078830	NA	0
66	17:43999983-44000468	17:44369000-44371000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55929431;rs8079501	ENSG00000176681	1
