region2	reg_region	type	tissue/cell	genes
1:61720001-61760000	1:61740742-61740871	prom	E068	NA
1:61720001-61760000	1:61740742-61740871	prom	E070	NA
1:61720001-61760000	1:61740742-61740871	prom	E071	NA
1:61720001-61760000	1:61740742-61740871	prom	E072	NA
1:61720001-61760000	1:61740742-61740871	prom	E082	NA
1:61720001-61760000	1:61740909-61740998	prom	E068	NA
1:61720001-61760000	1:61740909-61740998	prom	E070	NA
1:61720001-61760000	1:61740909-61740998	prom	E071	NA
1:61720001-61760000	1:61740909-61740998	prom	E072	NA
1:61720001-61760000	1:61740909-61740998	prom	E082	NA
1:61720001-61760000	1:61741023-61741088	prom	E070	NA
1:61720001-61760000	1:61741023-61741088	prom	E071	NA
1:61720001-61760000	1:61741023-61741088	prom	E082	NA
1:61720001-61760000	1:61741101-61741151	prom	E070	NA
1:61720001-61760000	1:61741101-61741151	prom	E071	NA
1:61720001-61760000	1:61741101-61741151	prom	E082	NA
12:112840000-112850000	12:112846490-112847798	prom	E053	NA
12:112840000-112850000	12:112846490-112847798	prom	E054	NA
12:112840000-112850000	12:112846490-112847798	prom	E067	NA
12:112840000-112850000	12:112846490-112847798	prom	E068	NA
12:112840000-112850000	12:112846490-112847798	prom	E069	NA
12:112840000-112850000	12:112846490-112847798	prom	E070	NA
12:112840000-112850000	12:112846490-112847798	prom	E071	NA
12:112840000-112850000	12:112846490-112847798	prom	E072	NA
12:112840000-112850000	12:112846490-112847798	prom	E073	NA
12:112840000-112850000	12:112846490-112847798	prom	E074	NA
12:112840000-112850000	12:112846490-112847798	prom	E082	NA
17:42780000-42790000	17:42785445-42786879	prom	E053	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E054	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E067	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E068	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E069	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E070	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E071	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E072	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E073	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E074	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E081	ENSG00000161692
17:42780000-42790000	17:42785445-42786879	prom	E082	ENSG00000161692
17:42820000-42830000	17:42826856-42827783	prom	E069	NA
17:42820000-42830000	17:42826856-42827783	prom	E073	NA
17:42850000-42860000	17:42851537-42854314	prom	E053	NA
17:42850000-42860000	17:42851537-42854314	prom	E067	NA
