GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	7	2	46350	-0.30879	0.62126	SAMD11
ENSG00000268179	1	861264	866445	1	1	46350	-0.74347	0.7714	AL645608.1
ENSG00000188976	1	879584	894689	35	2	46350	-0.094145	0.5375	NOC2L
ENSG00000187961	1	895967	901095	19	2	46350	-0.12614	0.55019	KLHL17
ENSG00000187583	1	901877	911245	9	4	46350	1.0978	0.13615	PLEKHN1
ENSG00000187642	1	910579	917497	21	4	46350	2.1274	0.016695	C1orf170
ENSG00000188290	1	934342	935552	4	2	46350	0.7672	0.22148	HES4
ENSG00000187608	1	948803	949920	5	2	46350	-0.15935	0.5633	ISG15
ENSG00000188157	1	955503	991496	50	5	46350	0.88491	0.1881	AGRN
ENSG00000237330	1	1006346	1009687	5	2	46350	0.07607	0.46968	RNF223
ENSG00000131591	1	1017198	1051741	97	6	46350	-0.30142	0.61845	C1orf159
ENSG00000162571	1	1109264	1133315	97	13	46350	0.51537	0.30315	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	46350	-0.84138	0.79993	TNFRSF18
ENSG00000186827	1	1146706	1149518	4	1	46350	0.18766	0.42557	TNFRSF4
ENSG00000078808	1	1152288	1167411	95	4	46350	-1.1068	0.8658	SDF4
ENSG00000176022	1	1167629	1170421	4	2	46350	-0.39995	0.6554	B3GALT6
ENSG00000184163	1	1177826	1182102	10	2	46350	-0.74882	0.77302	FAM132A
ENSG00000160087	1	1189289	1209265	38	4	46350	-0.24819	0.59801	UBE2J2
ENSG00000162572	1	1215816	1227409	31	8	46350	-0.95767	0.83088	SCNN1D
ENSG00000131584	1	1227756	1244989	39	5	46350	-0.45927	0.67698	ACAP3
ENSG00000169972	1	1243947	1247057	3	2	46350	-0.57953	0.71889	PUSL1
ENSG00000127054	1	1246965	1260071	16	4	46350	-0.73274	0.76814	CPSF3L
ENSG00000224051	1	1260136	1264277	10	2	46350	-1.1035	0.86508	GLTPD1
ENSG00000169962	1	1266694	1270686	12	3	46350	-1.5261	0.93651	TAS1R3
ENSG00000107404	1	1270656	1284730	39	7	46350	-0.81903	0.79361	DVL1
ENSG00000162576	1	1288069	1297157	30	4	46350	-0.74892	0.77305	MXRA8
ENSG00000175756	1	1309110	1310875	7	3	46350	-0.94393	0.8274	AURKAIP1
ENSG00000221978	1	1321091	1334708	21	4	46350	-0.23273	0.59201	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	46350	-0.60169	0.72631	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	13	4	46350	-0.40518	0.65733	MRPL20
ENSG00000235098	1	1353800	1357149	8	2	46350	0.15042	0.44022	ANKRD65
ENSG00000205116	1	1361508	1363167	4	2	46350	-1.711	0.95646	TMEM88B
ENSG00000179403	1	1370241	1378262	22	5	46350	-1.1387	0.87259	VWA1
ENSG00000215915	1	1385069	1405538	64	7	46350	0.38185	0.35129	ATAD3C
ENSG00000160072	1	1407143	1433228	52	6	46350	1.452	0.073251	ATAD3B
ENSG00000197785	1	1447531	1470067	87	10	46350	-0.098387	0.53919	ATAD3A
ENSG00000205090	1	1470554	1475833	9	3	46350	0.000228	0.49991	TMEM240
ENSG00000160075	1	1477053	1510249	108	8	46350	-0.24748	0.59773	SSU72
ENSG00000215014	1	1510355	1511373	6	2	46350	0.095349	0.46202	AL645728.1
ENSG00000197530	1	1550795	1565990	1	1	46350	-0.5461	0.7075	MIB2
ENSG00000189339	1	1592939	1624167	28	2	46350	-0.1119	0.54455	SLC35E2B
ENSG00000008128	1	1634169	1655766	100	4	46350	-0.9831	0.83722	CDK11A
ENSG00000215790	1	1656277	1677431	73	6	46350	-1.2195	0.88867	SLC35E2
ENSG00000008130	1	1682671	1711896	73	9	46350	-1.5294	0.93691	NADK
ENSG00000078369	1	1716729	1822495	150	14	46350	-1.5292	0.93689	GNB1
ENSG00000169885	1	1846266	1848735	11	3	46350	0.23592	0.40675	CALML6
ENSG00000178821	1	1849029	1850712	6	2	46350	0.063236	0.47479	TMEM52
ENSG00000142609	1	1853396	1935276	361	22	46350	1.1875	0.11751	C1orf222
ENSG00000187730	1	1950780	1962192	19	3	46350	1.3248	0.092625	GABRD
ENSG00000067606	1	1981909	2116834	435	27	46350	-0.72757	0.76656	PRKCZ
ENSG00000162585	1	2115903	2144159	55	11	46350	0.46031	0.32265	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	46350	0.2568	0.39867	AL590822.2
ENSG00000203301	1	2143360	2145620	6	3	46350	1.3026	0.096348	AL590822.1
ENSG00000157933	1	2160134	2241558	214	34	46350	0.99702	0.15938	SKI
ENSG00000116151	1	2252692	2323146	263	25	46350	-0.082811	0.533	MORN1
ENSG00000269753	1	2258581	2259042	2	1	46350	-0.64284	0.73983	AL589739.1
ENSG00000157916	1	2323267	2336883	33	8	46350	-0.40327	0.65663	RER1
ENSG00000157911	1	2336236	2345236	20	6	46350	-0.42325	0.66394	PEX10
ENSG00000149527	1	2357419	2436969	141	20	46350	1.9327	0.026638	PLCH2
ENSG00000157881	1	2439972	2458039	41	5	46350	-0.23952	0.59465	PANK4
ENSG00000197921	1	2460184	2461684	3	2	46350	1.3849	0.083038	HES5
ENSG00000157873	1	2487078	2496821	23	4	46350	2.4267	0.0076189	TNFRSF14
ENSG00000157870	1	2517930	2522908	10	3	46350	1.6128	0.053399	FAM213B
ENSG00000142606	1	2522078	2564481	179	8	46350	1.583	0.056716	MMEL1
ENSG00000215912	1	2567415	2718286	361	19	46350	2.0091	0.022265	TTC34
ENSG00000169717	1	2938046	2939465	4	1	46350	0.4046	0.34289	ACTRT2
ENSG00000142611	1	2985732	3355185	1247	134	46350	0.7284	0.23319	PRDM16
ENSG00000130762	1	3370990	3397677	88	8	46350	0.93546	0.17478	ARHGEF16
ENSG00000162591	1	3406484	3528059	153	30	46350	-1.6155	0.9469	MEGF6
ENSG00000158109	1	3541566	3546691	15	4	46350	-1.2806	0.89984	TPRG1L
ENSG00000116213	1	3547331	3569325	51	11	46350	-0.18027	0.57153	WRAP73
ENSG00000078900	1	3569084	3652765	236	39	46350	-1.1919	0.88335	TP73
ENSG00000162592	1	3668962	3688209	69	12	46350	-0.9639	0.83245	CCDC27
ENSG00000235169	1	3689352	3692546	15	5	46350	-1.268	0.8976	SMIM1
ENSG00000130764	1	3696784	3713068	77	13	46350	-0.67533	0.75027	LRRC47
ENSG00000116198	1	3728645	3773778	319	16	46350	-1.4208	0.92231	CEP104
ENSG00000169598	1	3773845	3801993	156	18	46350	-0.70782	0.76047	DFFB
ENSG00000198912	1	3805689	3816857	43	6	46350	-0.40038	0.65556	C1orf174
ENSG00000196581	1	4714792	4852594	720	86	46350	-0.62086	0.73265	AJAP1
ENSG00000131697	1	5922871	6052533	442	23	46350	0.5436	0.29336	NPHP4
ENSG00000069424	1	6051526	6161253	351	48	46350	0.89488	0.18542	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	46350	-0.67468	0.75006	AL035406.1
ENSG00000116254	1	6161853	6240183	328	31	46350	-0.56468	0.71385	CHD5
ENSG00000116251	1	6241329	6269449	72	12	46350	1.7195	0.042766	RPL22
ENSG00000158286	1	6265535	6281359	40	5	46350	0.26473	0.39561	RNF207
ENSG00000116237	1	6281253	6296032	28	4	46350	-0.74594	0.77215	ICMT
ENSG00000173673	1	6304252	6305638	4	1	46350	1.1663	0.12175	HES3
ENSG00000158292	1	6307406	6321035	37	3	46350	0.81503	0.20753	GPR153
ENSG00000097021	1	6324329	6454451	429	23	46350	-0.58435	0.72051	ACOT7
ENSG00000069812	1	6472478	6484730	46	8	46350	-0.72925	0.76708	HES2
ENSG00000187017	1	6484848	6521430	116	11	46350	-1.7903	0.96329	ESPN
ENSG00000215788	1	6521211	6526255	12	3	46350	-0.85448	0.80358	TNFRSF25
ENSG00000171680	1	6526152	6580121	154	24	46350	0.83144	0.20286	PLEKHG5
ENSG00000162408	1	6581407	6614595	138	4	46350	0.81771	0.20676	NOL9
ENSG00000173662	1	6615241	6639817	44	7	46350	1.0706	0.14218	TAS1R1
ENSG00000204859	1	6640061	6649340	15	6	46350	1.4687	0.070952	ZBTB48
ENSG00000162413	1	6650784	6674667	49	11	46350	0.55194	0.2905	KLHL21
ENSG00000116273	1	6673745	6684093	25	6	46350	0.45797	0.32349	PHF13
ENSG00000041988	1	6684926	6695646	34	6	46350	0.17356	0.43111	THAP3
ENSG00000007923	1	6694228	6761984	170	19	46350	0.37553	0.35363	DNAJC11
ENSG00000171735	1	6845384	7829766	3087	205	46350	0.29847	0.38267	CAMTA1
ENSG00000049245	1	7831329	7841492	38	9	46350	0.97842	0.16393	VAMP3
ENSG00000049246	1	7844380	7905237	263	22	46350	-0.12049	0.54795	PER3
ENSG00000049247	1	7903143	7913572	47	14	46350	-0.9207	0.8214	UTS2
ENSG00000049249	1	7979907	8000926	48	7	46350	-1.0107	0.84392	TNFRSF9
ENSG00000116288	1	8014351	8045565	73	10	46350	0.378	0.35272	PARK7
ENSG00000116285	1	8064464	8086368	40	7	46350	-0.57822	0.71844	ERRFI1
ENSG00000162426	1	8377886	8404227	93	15	46350	-1.1931	0.88358	SLC45A1
ENSG00000142599	1	8412457	8877702	876	26	46350	2.4968	0.0062665	RERE
ENSG00000074800	1	8921061	8939308	36	6	46350	1.2261	0.11008	ENO1
ENSG00000131686	1	9005926	9035151	138	28	46350	-0.13291	0.55287	CA6
ENSG00000197241	1	9063359	9086404	78	18	46350	1.3186	0.093646	SLC2A7
ENSG00000142583	1	9095166	9148537	236	29	46350	0.54964	0.29128	SLC2A5
ENSG00000180758	1	9160364	9189229	82	9	46350	-0.63081	0.73592	GPR157
ENSG00000049239	1	9294834	9331396	117	19	46350	-0.52602	0.70056	H6PD
ENSG00000171621	1	9352939	9429591	401	56	46350	0.58937	0.27781	SPSB1
ENSG00000171612	1	9599541	9645237	72	10	46350	-1.0565	0.85463	SLC25A33
ENSG00000188807	1	9648932	9674935	39	6	46350	-0.85941	0.80494	TMEM201
ENSG00000171608	1	9711790	9789172	157	30	46350	-0.13389	0.55326	PIK3CD
