ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000162599	NFIA	1	61330931	61928465	1	protein_coding	4774	NFIA	0.999555166212873	-0.180372327	8	15.1	0	NA	NA	NA	NA	No	NA	8.74e-06	rs115833252	1
ENSG00000237435	RP11-147C23.1	1	96403457	96488436	1	protein_coding	102723661	LOC102723661	NA	NA	32	21.1	0	NA	NA	NA	NA	No	NA	3.41e-07	rs201910565	2
ENSG00000162627	SNX7	1	99127236	99226056	1	protein_coding	51375	SNX7	0.0288388617246868	NA	12	12.51	0	NA	NA	NA	NA	No	NA	3.074e-07	rs6701243;rs12759704	4
ENSG00000117598	LPPR5	1	99355806	99470588	-1	protein_coding	163404	PLPPR5	0.959898117418367	NA	0	0	4	0.000320679	0.0228484708858409	PsychENCODE_eQTLs	+	No	NA	4.716e-05	rs6701243;rs12759704	4
ENSG00000116128	BCL9	1	147013182	147098017	1	protein_coding	607	BCL9	0.831846216932657	1.396222179	6	6.189	0	NA	NA	NA	NA	No	NA	4.675e-06	rs78653484	6
ENSG00000162836	ACP6	1	147101453	147142618	-1	protein_coding	51205	ACP6	3.14409809921214e-05	-0.019764486	6	6.189	2	1.59597e-08	2.87929041189172e-06	PsychENCODE_eQTLs	+	No	NA	4.675e-06	rs78653484	6
ENSG00000143140	GJA5	1	147228332	147245484	-1	protein_coding	2702	GJA5	0.09799649643541	0.911943031	6	6.189	0	NA	NA	NA	NA	No	NA	4.675e-06	rs78653484	6
ENSG00000186889	TMEM17	2	62727356	62739029	-1	protein_coding	200728	TMEM17	0.00402396190447031	0.545845308	2	6.638	21	4.33638e-07	6.20443182678916e-05	PsychENCODE_eQTLs	+	Yes	Promoter_anchored_loops_oneway	1.741e-05	rs41363353	8
ENSG00000115504	EHBP1	2	62900986	63273622	1	protein_coding	23301	EHBP1	0.999748961950681	-0.554169843	32	12.49	0	NA	NA	NA	NA	No	NA	8.609e-06	rs41363353	8
ENSG00000115507	OTX1	2	63277192	63284971	1	protein_coding	5013	OTX1	0.219807903535165	-1.753229136	4	12.49	0	NA	NA	NA	NA	No	NA	7.225e-05	rs41363353	8
