GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
3	rs2391769	1	96978961	rs2391769	2019-01-29	30610198	Soler Artigas M	2019-01-04	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30610198	Attention-deficit/hyperactivity disorder and lifetime cannabis use: genetic overlap and causality.	Attention deficit hyperactivity disorder or cannabis use	18,345 European ancestry ADHD cases, 14,374 European ancestry cannabis use cases, 50,410 European ancestry controls	NA	1p21.3	intergenic	EEF1A1P11 - RN7SL831P	ENSG00000228502	ENSG00000241992		65087	69804	rs2391769-G	rs2391769	0	2391769	regulatory_region_variant	1	NR	3E-8	7.522878745280337		1.0638298	[1.04-1.09]	NR [5009020] (imputed)	N
3	rs2391769	1	96978961	rs2391769	2019-04-09	30478444	Demontis D	2018-11-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30478444	Discovery of the first genome-wide significant risk loci for attention deficit/hyperactivity disorder.	Attention deficit hyperactivity disorder	19,099 European ancestry cases, 72 non-European ancestry cases, 1,012 Han Chinese ancestry cases, 34,194 European ancestry controls, 72 non-European ancestry controls, 925 Han Chinese ancestry controls	5,085 Icelandic ancestry cases, 5,857 cases, 131,122 Icelandic ancestry controls, 70,393 controls	1p21.3	intergenic	EEF1A1P11 - RN7SL831P	ENSG00000228502	ENSG00000241992		65087	69804	rs2391769-A	rs2391769	0	2391769	regulatory_region_variant	1	NR	5E-7	6.301029995663981		1.013	NR	Affymetrix, Illumina, Perlegen [8047421] (imputed)	N
3	rs2391769	1	96978961	rs2391769	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	1p21.3	Intergenic	EEF1A1P11 - RN7SL831P	ENSG00000228502	ENSG00000241992		65087	69804	rs2391769-G	rs2391769	0	2391769	regulatory_region_variant	1	0.631	5E-7	6.301029995663981		1.0695187	[NR]	Illumina [9112387] (imputed)	N
4	rs6701243	1	99092784	rs6701243	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	1p21.3	Intergenic	LINC01776 - AC095031.1	ENSG00000226053	ENSG00000280040		354570	33160	rs6701243-A	rs6701243	0	6701243	intergenic_variant	1	0.609	1E-6	6.0		1.067	[NR]	Illumina [9112387] (imputed)	N
5	rs11185408	1	104792257	rs11185408	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	1p21.1	Intergenic	AC092506.1 - AL591888.1	ENSG00000215869	ENSG00000285981		22957	748771	rs11185408-G	rs11185408	0	11185408	intergenic_variant	1	0.477	1E-6	6.0		1.0649627	[NR]	Illumina [9112387] (imputed)	N
7	rs6692705	1	193502609	rs6692705	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	1q31.2	Intergenic	LINC01031 - AL357793.1	ENSG00000232077	ENSG00000226640		167526	145415	rs6692705-A	rs6692705	0	6692705	intergenic_variant	1	0.4	1E-6	6.0		1.066	[NR]	Illumina [9112387] (imputed)	N
8	rs41363353	2	63031922	rs79891622	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Red cell distribution width	approximately 445,000 European ancestry individuals	NA	2p15		EHBP1			ENSG00000115504			rs79891622-?	rs79891622	0	79891622	intron_variant	0	NR	3E-10	9.522878745280337				NR [~ 8900000] (imputed)	N
8	rs41363353	2	63199709	rs17408037	2019-02-01	30573740	Yap CX	2018-12-20	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30573740	Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.	Male-pattern baldness	205,327 European ancestry males	NA	2p15	NR	EHBP1, AC007098.1			ENSG00000115504, ENSG00000231609			rs17408037-G	rs17408037	0	17408037	intron_variant	0	0.164309	9E-9	8.045757490560675		0.0237295	[0.016-0.032] unit decrease	NR [19129689] (imputed)	N
10	rs1548635	2	159419739	rs3771608	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Red blood cell count	approximately 445,000 European ancestry individuals	NA	2q24.1		PKP4			ENSG00000144283			rs3771608-?	rs3771608	0	3771608	intron_variant	0	NR	1E-7	7.0				NR [~ 8900000] (imputed)	N
12	rs7578456	2	202215492	rs13014235	2015-11-21	25855136	Stacey SN	2015-04-09	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/25855136	New basal cell carcinoma susceptibility loci.	Basal cell carcinoma	4,572 European ancestry cases, 266,358 European ancestry controls	up to 956 European ancestry cases, up to 4,214 European ancestry controls, 526 cases, 528 controls	2q33.1	ALS2CR12, CASP8, CASP10	ALS2CR12			ENSG00000155749			rs13014235-C	rs13014235	0	13014235	missense_variant	0	0.456	2E-9	8.698970004336019		1.15	[1.10-1.20]	Illumina [24988228] (imputed)	N
12	rs7578456	2	202241907	rs10202963	2018-07-16	29739929	Visconti A	2018-05-08	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29739929	Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure.	Non-melanoma skin cancer	5,912 European ancestry cases, 181,740 European ancestry controls		2q33.1	NR	ALS2CR12 - TRAK2	ENSG00000155749	ENSG00000115993		19786	23	rs10202963-G	rs10202963	0	10202963	intergenic_variant	1	NR	9E-9	8.045757490560675		1.11491	[1.07426-1.15709]	Affymetrix [5734850] (imputed)	N
13	rs148587110	3	20641966	rs148587110	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	3p24.3	Intergenic	SGO1-AS1			ENSG00000231304			rs148587110-C	rs148587110	0	148587110	intron_variant	0	0.011	1E-6	6.0		1.3927578	[NR]	Illumina [9112387] (imputed)	N
14	rs1452075	3	62471086	rs6774533	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	3p14.2		CADPS			ENSG00000163618			rs6774533-T	rs6774533	0	6774533	intron_variant	0	0.6985	4E-9	8.397940008672037		0.009	[0.0061-0.0119] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
14	rs1452075	3	62471086	rs6774533	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (MTAG)	1,311,438 European ancestry individuals	NA	3p14.2	Intergenic	CADPS			ENSG00000163618			rs6774533-T	rs6774533	0	6774533	intron_variant	0	0.6985	3E-10	9.522878745280337	(MTAG)	0.009	[0.0063-0.0117] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
